key,value
8471685,Anze Kopitar
8473664,Justin Azevedo
8475726,Tyler Toffoli
8474638,Andrew Campbell
8474681,Andrei Loktionov
8468526,Jarret Stoll
8460621,Daniel Alfredsson
8470604,Jeff Carter
8470606,Dustin Brown
8474889,Martin Jones
8470121,Matt Greene
8475223,Linden Vey
8467346,Simon Gagne
8470617,Mike Richards
8473453,Trevor Lewis
8476981,Josh Anderson
8471693,Jakub Kindl
8467514,Pavel Datsyuk
8467478,Kent Huskins
8470201,Jiri Hudler
8473558,Cory Emmerton
8474100,Dwight King
8474066,Thomas Hickey
8468508,Justin Williams
8473419,Brad Marchand
8470905,Randy Jones
8474749,Matt Bartkowski
8471717,Adam McQuaid
8471916,Mike Angelidis
8471276,David Krejci
8470187,Johnny Boychuk
8471514,Rich Peverley
8471314,Mike Lundin
8475167,Victor Hedman
8470230,Daniel Paille
8467925,Adam Hall
8469765,Marc-Andre Bergeron
8467329,Vincent Lecavalier
8467967,Chris Kelly
8470638,Patrice Bergeron
8471467,Matthew Ford
8465914,Francis Bouillon
8468575,Dominic Moore
8470596,Nathan Horton
8471767,Blair Jones
8470634,Matt Smaby
8470666,Daniel Carcillo
8477225,Jared Coreau
8470645,Corey Crawford
8474682,Dustin Tokarski
8474564,Steven Stamkos
8474002,Colby Cohen
8473473,Milan Lucic
8474000,Steven Kampfer
8471418,Anton Khudobin
8469619,Dennis Seidenberg
8470804,Mathieu Roy
8469548,Ray Emery
8470169,Gregory Campbell
8474095,Dana Tyrell
8467988,Ryan Malone
8470615,Marc-Antoine Pouliot
8467545,Michael Ryder
8466333,Andrew Ference
8471703,Steve Downie
8466378,Martin St. Louis
8474657,Jamie Arniel
8473962,Teddy Purcell
8470176,Sean Bergenheim
8471668,Mattias Ritola
8470775,Nate Thompson
8475794,Tyler Seguin
8475150,Jordan Caron
8471958,Dan Girardi
8471873,Anton Stralman
8473932,Darroll Powe
8475118,Matt Gilroy
8470192,Steve Eminger
8476861,Oscar Dansk
8474068,Kyle Turris
8476205,Stephane Da Costa
8475243,Ryan Bourque
8474230,Micheal Haley
8474151,Ryan McDonagh
8471686,Marc Staal
8470232,Kris Newbury
8475692,Mats Zuccarello
8476462,Dougie Hamilton
8470041,Rick Nash
8469534,Aaron Johnson
8471339,Ryan Callahan
8468685,Henrik Lundqvist
8473432,Derek Dorsett
8471695,Tuukka Rask
8476468,J.T. Miller
8474772,Stu Bickel
8474850,Brandon Mashinter
8475184,Chris Kreider
8475186,John Moore
8476792,Torey Krug
8473484,Kaspars Daugavins
8474176,Carl Hagelin
8475660,Cam Talbot
8471262,Carl Soderberg
8469622,Ryane Clowe
8467389,Brad Richards
8470619,Brian Boyle
8474613,Derek Stepan
8477404,Jake Guentzel
8470597,Nikolay Zherdev
8470996,Danny Syvret
8474163,Kevin Marshall
8475749,Christian Thomas
8474584,Michael Del Zotto
8475795,Dylan McIlrath
8469755,Brandon Segal
8476844,Niklas Svedberg
8469638,Jussi Jokinen
8468542,Paul Martin
8471311,Tyler Kennedy
8471675,Sidney Crosby
8470543,Chris Kunitz
8476211,Carter Camper
8475761,Beau Bennett
8471724,Kris Letang
8468498,Brooks Orpik
8466393,Pascal Dupuis
8471246,Chris Bourque
8471856,Joe Vitale
8471215,Evgeni Malkin
8474091,Brandon Sutter
8471702,Matt Niskanen
8468114,Douglas Murray
8468674,Deryk Engelland
8471707,James Neal
8474138,Dustin Jeffrey
8467580,Mark Eaton
8479432,Nick Ellis
8458361,Doug Weight
8476316,Laurent Brossoit
8474873,Brian Lashoff
8474874,Travis Ehrhardt
8474815,Francis Pare
8467332,Bryan Allen
8475758,Devante Smith-Pelly
8470854,Tanner Glass
8475155,Simon Despres
8474145,Robert Bortuzzo
8470594,Marc-Andre Fleury
8473553,Jeff Zatkoff
8471716,Justin Abdelkader
8471956,Andrew Desjardins
8467331,Brad Stuart
8470861,Sean Sullivan
8467096,Dan Boyle
8474027,Justin Braun
8471794,Darren Helm
8470622,Patrick Eaves
8474667,Harri Sateri
8474550,Antti Niemi
8474032,Nick Petrecki
8475202,Taylor Doherty
8470273,Ian White
8471682,Devin Setoguchi
8467928,Doug Janik
8470318,Jonathan Ericsson
8468577,Niclas Wallin
8475607,Cameron MacIntyre
8470794,Joe Pavelski
8473465,Jamie McGinn
8470280,Ben Eager
8474685,Matt Calvert
8478970,Jalen Chatfield
8471483,Kyle Wilson
8474092,Jeremy Smith
8464989,Matt Cullen
8468540,Dan Ellis
8467844,Jason Blake
8468095,George Parros
8470047,Valtteri Filppula
8468482,Dany Heatley
8468083,Henrik Zetterberg
8471338,Torrey Mitchell
8474053,Logan Couture
8469581,Kyle Wellwood
8473562,John McCarthy
8474090,Brendan Smith
8471309,Johan Franzen
8470778,Drew Miller
8470657,Jimmy Howard
8471306,Thomas Greiss
8471709,Marc-Edouard Vlasic
8474739,Tommy Wingels
8473600,Benn Ferriero
8475625,Matt Irwin
8475346,Marek Viedensky
8475622,Carter Hutton
8473569,Jan Mursak
8474218,Jason Demers
8470061,Derek Meech
8468509,Niklas Kronwall
8475193,Tomas Tatar
8467856,Brian Rafalski
8467876,Henrik Sedin
8471859,Sergei Kostitsyn
8467875,Daniel Sedin
8467330,David Legwand
8476310,Lukas Sedlak
8471714,Michael Sauer
8468224,Sean Avery
8468483,Marian Gaborik
8475215,Robin Lehner
8473503,James Reimer
8468485,Raffi Torres
8474569,Colin Wilson
8471498,Jannik Hansen
8468064,Martin Erat
8467370,Mike Fisher
8468162,Jerred Smithson
8470600,Ryan Suter
8471811,Cal O'Reilly
8470642,Shea Weber
8470620,Jeff Tambellini
8474096,Nick Spaling
8470054,Keith Ballard
8470274,Chris Higgins
8474570,Cody Hodgson
8469465,Dan Hamhuis
8474094,Matt Halischuk
8469547,Jordin Tootoo
8473608,Blake Geoffrion
8469626,Andrew Alberts
8470616,Ryan Kesler
8470839,Shane O'Brien
8467463,Mikael Samuelsson
8470310,Aaron Rome
8470630,Kevin Klein
8470063,Adam Burish
8475602,Casey Wellman
8468011,Ryan Miller
8471664,Mason Raymond
8471268,Victor Oreskovich
8471887,Patric Hornqvist
8470358,Alexandre Burrows
8471742,Cody Franson
8471303,Alexander Edler
8470654,Maxim Lapierre
8474164,Jonathon Blum
8469598,Kevin Bieksa
8469555,Christian Ehrhoff
8468208,Joel Ward
8471741,Teemu Laakso
8474580,Chet Pickard
8474535,Chris Mueller
8474629,Shawn Lalonde
8474625,Jimmy Hayes
8476403,Klas Dahlbeck
8473537,Viktor Stalberg
8475323,Marcus Kruger
8471769,Niklas Hjalmarsson
8474679,Gustav Nyquist
8471245,Dave Bolland
8475204,Brandon Pirri
8475650,Brandon Bollig
8470281,Duncan Keith
8475097,Brad Thiessen
8474168,Joakim Andersson
8476381,Andrew Shaw
8468927,Steve Montador
8470724,Kyle Quincey
8474727,Ben Smith
8470607,Brent Seabrook
8471254,Bryan Bickell
8475214,Jeremy Morin
8476431,Adam Clendening
8475181,Nick Leddy
8469544,Patrick Sharp
8469665,Johnny Oduya
8473564,Michael Frolik
8473604,Jonathan Toews
8476438,Brandon Saad
8477059,Damien Brunner
8474141,Patrick Kane
8475431,Henrik Karlsson
8469470,Carlo Colaiacovo
8475114,Jordan Pearce
8475598,Ryan Stanton
8475153,Dylan Olsen
8469992,Sheldon Brookbank
8471719,Matt Kassian
8467496,Andrei Markov
8467493,Chris Neil
8475797,Jarred Tinordi
8471679,Carey Price
8476851,Alex Galchenyuk
8474157,Max Pacioretty
8475164,Jakob Silfverberg
8471283,Brandon Prust
8469521,Tomas Plekanec
8476432,Boone Jenner
8467407,Brian Gionta
8473468,Eric Gryba
8473588,Erik Condra
8476419,Jean-Gabriel Pageau
8473466,Ryan White
8475848,Brendan Gallagher
8476459,Mika Zibanejad
8470599,Milan Michalek
8475254,Gabriel Dumont
8471296,Alexei Emelin
8475174,Jared Cowen
8467831,Jeff Halpern
8467950,Craig Anderson
8475739,Michael Bournival
8470760,Marc Methot
8471299,Peter Regin
8474605,Patrick Wiercioch
8474884,Mike Hoffman
8471976,David Desharnais
8474688,Greg Pateryn
8470324,Josh Gorges
8474250,Zack Smith
8474134,Yannick Weber
8474056,P.K. Subban
8476195,Cory Conacher
8476470,Nathan Beaulieu
8475183,Louis Leblanc
8468635,Travis Moen
8469506,Jason Pominville
8471504,Rene Bourque
8477237,Mike Condon
8471229,Petteri Nokelainen
8471663,Mike Blunden
8471862,Colin Greening
8474578,Erik Karlsson
8470378,Andre Benoit
8476244,Raphael Diaz
8474024,Jim O'Brien
8474189,Lars Eller
8469474,Colby Armstrong
8475913,Mark Stone
8474683,Derek Grant
8476386,Shane Prince
8475661,Dave Dziurzynski
8476477,Matt Puempel
8476474,Stefan Noesen
8476879,Cody Ceci
8474855,Nathan Lawson
8474697,Mark Borowiecki
8469514,Peter Budaj
8467336,Mike Rupp
8470104,Tom Gilbert
8470153,Pierre-Marc Bouchard
8474716,Jared Spurgeon
8473504,Cal Clutterbuck
8475722,Jason Zucker
8473992,Justin Falk
8476463,Jonas Brodin
8469459,Mikko Koivu
8470803,Kyle Brodziak
8470886,Clayton Stoner
8475613,Nate Prosser
8469820,Zenon Konopka
8474618,Marco Scandella
8475745,Charlie Coyle
8473404,Niklas Backstrom
8475798,Mikael Granlund
8469542,Stephane Veilleux
8471352,Jake Dowell
8475757,Brett Bulmer
8470074,Jeff Deslauriers
8474077,Carson McMillan
8471885,Chad Rau
8476856,Matt Dumba
8475311,Darcy Kuemper
8476481,Zack Phillips
8476235,Justin Fontaine
8473445,Kyle Medvec
8473618,Mathieu Perreault
8469639,Brooks Laich
8474590,John Carlson
8471242,Mike Green
8471240,Jeff Schultz
8468611,Matt Hendricks
8467365,John Erskine
8470159,Boyd Gordon
8473991,Karl Alzner
8470120,Alexander Semin
8469770,Dennis Wideman
8468846,Tyler Sloan
8473913,Sean Collins
8473911,Steven Pinizzotto
8474651,Braden Holtby
8473563,Nicklas Backstrom
8471780,Patrick McNeill
8470294,DJ King
8474291,Jay Beagle
8473607,Michal Neuvirth
8466251,Jason Chimera
8470611,Eric Fehr
8475149,Marcus Johansson
8473936,Kirk MacDonald
8475683,Sergei Bobrovsky
8474551,Ville Leino
8475283,Lane MacDermid
8467408,Matt Walker
8475080,Johan Backlund
8474636,Michael Hutchinson
8467361,Blair Betts
8473550,Andrew Bodnarchuk
8474045,Zach Hamill
8475614,Mike Testwuide
8467905,Michael Ryan
8471346,Kris Versteeg
8473568,Andreas Nodl
8476406,Nick Shore
8467890,Barret Jackman
8473534,Patrik Berglund
8471710,Taylor Chorney
8474031,Kevin Shattenkirk
8474596,Jake Allen
8469480,Jeff Woywitka
8470151,Jay Bouwmeester
8469685,Andrew Murray
8471729,Kris Russell
8475768,Jaden Schwartz
8470871,Chris Porter
8475765,Vladimir Tarasenko
8474634,Evgeny Grachev
8471490,Adam Cracknell
8467917,Jordan Leopold
8471817,Ryan Reaves
8470880,Brian Elliott
8474565,Alex Pietrangelo
8471698,T.J. Oshie
8473485,Chris Stewart
8468700,Paul Gaustad
8474013,Ian Cole
8468434,Andy McDonald
8467344,Robyn Regehr
8475825,Jani Hakanpaa
8470655,David Backes
8476436,Dmitrij Jaskin
8470257,Alexander Steen
8471743,Vladimir Sobotka
8471392,Roman Polak
8474184,Keaton Ellerby
8474102,David Perron
8475234,J-F Berube
8474626,Robert Czarnik
8476772,Brian O'Neill
8475295,Brandon Kozun
8475738,Jordan Weal
8476871,Tanner Pearson
8475235,Nicolas Deslauriers
8471476,Daniel Winnik
8470860,Jaroslav Halak
8468213,Jim Vandermeer
8474001,TJ Galiardi
8470647,B.J. Crombeen
8471851,Matt D'Agostini
8468515,Brad Winchester
8470613,Brent Burns
8467899,Martin Havlat
8471842,Tim Kennedy
8471774,Alex Stalock
8474531,Mike Moore
8471677,Jack Johnson
8474114,Oscar Moller
8467511,Antero Niittymaki
8471386,Scott Parse
8476826,Yanni Gourde
8472368,Chris Conner
8474519,Jack Hillen
8475772,Riley Sheahan
8471450,Brandon Yip
8475176,Ryan Ellis
8470603,Andrei Kostitsyn
8474600,Roman Josi
8475268,Gabriel Bourque
8475225,Craig Smith
8471228,Alexander Radulov
8467977,Brian McGrattan
8474552,Fabian Brunnstrom
8474591,Tom McCollum
8473972,Jonas Hiller
8473933,Ben Lovejoy
8471676,Bobby Ryan
8470621,Corey Perry
8472370,Jordan Hendry
8475883,Frederik Andersen
8475162,Mat Clark
8469483,David Steckel
8474034,Patrick Maroon
8467400,Francois Beauchemin
8470317,Nate Guenin
8468695,Matthew Lombardi
8471521,Brad Staubitz
8475764,Cam Fowler
8476854,Hampus Lindholm
8476384,Max Friberg
8475770,Emerson Etem
8474009,Nick Bonino
8471699,Andrew Cogliano
8478011,Louie Belpedio
8475220,Marcus Foligno
8475222,Sami Vatanen
8476434,John Gibson
8475171,Oliver Ekman-Larsson
8475180,Peter Holland
8470612,Ryan Getzlaf
8474579,Luca Sbisa
8473492,Matt Beleskey
8477215,Danny DeKeyser
8475151,Kyle Palmieri
8476483,Rickard Rakell
8471428,Pierre-Luc Letourneau-Leblond
8466285,Brian Campbell
8470084,Hannu Toivonen
8470329,Chris Campoli
8468518,Tomas Kopecky
8468510,Jeff Taffe
8471426,Troy Brouwer
8473722,John Scott
8475095,Alec Richards
8475074,Brian Connelly
8473970,Rob Klinkhammer
8471239,Cory Schneider
8474628,Michael Stone
8475839,Louis Domingue
8471232,Lauri Korpikoski
8476206,Andy Miele
8474107,Maxim Goncharov
8471680,Gilbert Brule
8468535,Antoine Vermette
8470713,Paul Bissonnette
8476062,Mark Arcobello
8470719,Alexandre Bolduc
8473589,Chris Summers
8473673,David Schlemko
8471691,Martin Hanzal
8476864,Ville Pokka
8471735,Keith Yandle
8468484,Rostislav Klesla
8468085,Radim Vrbata
8475216,Ethan Werek
8475224,Jordan Szwarz
8476473,Connor Murphy
8474571,Mikkel Boedker
8475182,David Rundblad
8474050,Brett MacLean
8471821,Matt Watkins
8471302,Justin Pogge
8471231,Kyle Chipchura
8474598,Nicolas Deschamps
8474646,Brandon McMillan
8467393,Jarkko Ruutu
8467304,Andy Sutton
8468598,Lubomir Visnovsky
8475105,Dan Sexton
8474765,Anders Lindback
8471279,Sami Lepisto
8474103,Joe Lavin
8474709,Matt Martin
8467931,Matt Carkner
8468101,Radek Martinek
8470144,Frans Nielsen
8475314,Anders Lee
8475754,Brock Nelson
8474666,David Ullstrom
8475166,John Tavares
8473584,Andrew MacDonald
8476458,Ryan Strome
8473546,Michael Grabner
8475177,Calvin de Haan
8469779,Keith Aucoin
8474604,Aaron Ness
8470644,Colin McDonald
8473514,Jesse Joensuu
8474690,Kevin Poulin
8473565,Brian Strait
8474659,Matt Donovan
8473449,Kyle Okposo
8471701,Joe Finley
8474612,Travis Hamonic
8470852,Matt Moulson
8476367,John Persson
8476445,Johan Sundstrom
8475195,Anders Nilsson
8475231,Casey Cizikas
8468309,Mark Streit
8468504,Brad Boyes
8471234,Wojtek Wolski
8467371,Mike Ribeiro
8475619,Aaron Volpatti
8476162,Steve Oleksy
8475831,Philipp Grubauer
8475200,Dmitry Orlov
8477220,Nate Schmidt
8475165,Anton Lander
8470156,Joey Crabb
8474649,Tomas Kundratek
8476799,Cameron Schilling
8476880,Tom Wilson
8475690,Christopher Tanev
8475663,Eddie Lack
8473488,Sergei Shirokov
8473931,Lee Sweatt
8467334,Manny Malhotra
8474668,Dale Weise
8471752,Marc-Andre Gragnani
8470700,Byron Bitz
8473682,Andrew Ebbett
8471011,Garrett Stafford
8471266,David Booth
8475178,Zack Kassian
8477073,Kurtis MacDermid
8470618,Anthony Stewart
8473541,Jonathan Bernier
8473914,Mark Letestu
8473533,Jordan Staal
8469760,Zbynek Michalek
8467964,Mike Comrie
8468252,Eric Godard
8474025,Eric Tangradi
8470299,Erik Christensen
8468172,Ruslan Fedotenko
8473573,Artem Anisimov
8471273,Brandon Dubinsky
8469455,Jason Spezza
8468463,Mathieu Darche
8470222,James Wisniewski
8471678,Benoit Pouliot
8471768,Tom Pyatt
8470678,Alexandre Picard
8467439,Jaroslav Spacek
8467351,Scott Gomez
8469500,Michael Cammalleri
8470602,Dion Phaneuf
8470207,Joffrey Lupul
8474125,Carl Gunnarsson
8470667,Clarke MacArthur
8473712,Frazer McLaren
8473579,Nikolay Kulemin
8472424,Ryan Hamilton
8474497,Michael Kostka
8471362,Mikhail Grabovski
8473463,Leo Komarov
8468639,John-Michael Liles
8474192,Matt Frattin
8468778,Colton Orr
8471748,Mark Fraser
8469508,Jay McClement
8470672,Ryan O'Byrne
8473548,Phil Kessel
8474577,Joe Colborne
8475098,Tyler Bozak
8474581,Jake Gardiner
8475172,Nazem Kadri
8469569,Drew MacIntyre
8475203,Jesse Blacker
8473560,Korbinian Holzer
8475637,Bobby Butler
8470750,John Mitchell
8473422,Nick Foligno
8467913,Alex Auld
8471411,Chad Kolarik
8474498,Jesse Winchester
8474670,Andre Petersson
8471750,Ben Bishop
8470105,Scottie Upshall
8471681,Jack Skille
8467428,Krys Barch
8468478,Mike Weaver
8466371,John Madden
8470039,Tomas Fleischmann
8475179,Dmitry Kulikov
8476300,Nikita Nesterov
8474520,Jason Garrison
8471390,Mike Santorelli
8473574,Shawn Matthias
8475790,Erik Gudbranson
8469473,Marcel Goc
8469457,Stephen Weiss
8466339,Scott Clemmensen
8470729,Tyson Strachan
8476268,Mattias Sjogren
8475236,Cody Eakin
8467430,Dany Sabourin
8473497,Dennis Persson
8476807,Matt Tennyson
8475878,Freddie Hamilton
8473536,James Sheppard
8476767,Sebastian Stalberg
8477043,Christian Djoos
8478442,Cooper Marody
8478468,Jeremy Lauzon
8475156,Mikko Koskinen
8471996,Bracken Kearns
8475365,Sena Acolatse
8476331,Dylan DeMelo
8476810,Travis Oleksuk
8475939,J.P. Anderson
8471700,Matt Pelech
8475148,Tim Erixon
8474589,Tyler Ennis
8471284,Andrej Sekera
8471804,Nathan Gerbe
8471761,Chris Butler
8473426,Mike Weber
8470598,Thomas Vanek
8467878,Tim Connolly
8471419,Mark Mancari
8474574,Tyler Myers
8471388,Patrick Kaleta
8471226,Drew Stafford
8469591,Cody McCormick
8469472,Shaone Morrisonn
8470018,Matt Ellis
8469485,Derek Roy
8473523,Jhonas Enroth
8466309,Mike Mottau
8468636,Greg Zanon
8466215,Joe Corvo
8470636,Josh Hennessy
8475727,Ryan Spooner
8474607,Max Sauve
8475414,Craig Cunningham
8471753,T.J. Hensick
8470737,Brett Sterling
8474220,Jerome Samson
8473999,Nick Palmieri
8466216,Adam Mair
8472355,Rod Pelley
8476191,Kevan Miller
8474660,David Warsofsky
8475771,Mark Visentin
8476302,Frank Corrado
8475257,Peter Andersson
8475978,Alexandre Mallet
8471216,Cam Barker
8471810,Derek Joslin
8477201,Kellan Lain
8475147,Jordan Schroeder
8475423,Darren Archibald
8476482,Nicklas Jensen
8476867,Brendan Gaunce
8471409,Andrew Gordon
8475300,Joe Cannata
8469759,Vernon Fiddler
8470740,Lee Stempniak
8475759,Brandon Gormley
8474588,Viktor Tikhonov
8469681,Ryan Hollweg
8474875,Brent Raedeke
8467910,Nolan Yonkman
8471261,Dane Byers
8473409,Logan Pyett
8475707,Ilari Filppula
8474029,Cade Fairchild
8473511,David McIntyre
8471696,Matt Lashoff
8471221,Alexandre Picard
8474378,Matt Beaudoin
8470966,Mark Giordano
8477935,Sam Bennett
8473434,Chad Johnson
8474642,Lance Bouma
8474673,TJ Brodie
8476312,Josh Manson
8477941,Nick Ritchie
8474150,Mikael Backlund
8475163,Alex Chiasson
8475780,Chris Wagner
8478131,Ondrej Kase
8475907,Micheal Ferland
8477508,Curtis Lazar
8471766,Jared Boll
8477447,Shea Theodore
8477986,Brandon Montour
8476400,Logan Shaw
8476346,Johnny Gaudreau
8479314,Matthew Tkachuk
8477497,Sean Monahan
8470162,Matt Stajan
8476903,Jon Gillies
8471879,Kyle Cumiskey
8476806,J.T. Brown
8476886,Slater Koekkoek
8476453,Nikita Kucherov
8477300,Viktor Svedberg
8474870,Tyler Johnson
8477386,Henri Ikonen
8476292,Ondrej Palat
8474717,Mark Barberio
8475807,Joakim Nordstrom
8476539,Jonathan Marchessault
8476975,Cedric Paquette
8473986,Alex Killorn
8476860,Dylan Blujus
8477950,Tony DeAngelo
8477356,Kristers Gudlevskis
8474722,Luke Witkowski
8476394,Michael Paliotta
8476479,Phillip Danault
8477205,Andrej Sustr
8477326,Joel Vermin
8477845,Trevor van Riemsdyk
8477009,Jake Dotchin
8476911,Tanner Richard
8476882,Teuvo Teravainen
8477451,Ryan Hartman
8477494,Jonathan Drouin
8476480,Vladislav Namestnikov
8476883,Andrei Vasilevskiy
8475715,Oscar Lindberg
8475832,Tom Kuhnhackl
8475763,Kevin Hayes
8475208,Brian Dumoulin
8470110,Trevor Daley
8470595,Eric Staal
8476897,Oskar Sundqvist
8476899,Matt Murray
8474602,Justin Schultz
8476869,Brady Skjei
8477839,Conor Sheary
8475810,Bryan Rust
8475855,Jesper Fast
8476874,Olli Maatta
8475949,Marek Hrivik
8476884,Derrick Pouliot
8476433,Magnus Hellberg
8477465,Tristan Jarry
8475161,Chris Brown
8477435,Ryan Graves
8477126,Jayson Megna
8477889,Mathew Bodie
8477244,Chad Ruhwedel
8478971,Connor Ingram
8460806,Dwayne Roloson
8473499,Reto Berra
8474568,Luke Schenn
8475188,Brayden McNabb
8476919,Chris Tierney
8475820,Joonas Donskoi
8477922,Melker Karlsson
8476442,Matt Nieto
8475455,Brenden Dillon
8476881,Tomas Hertl
8473571,Jamie McBain
8475857,Kevin Gravel
8476373,Niklas Lundstrom
8475175,Magnus Paajarvi
8468505,Steve Ott
8476774,Terry Broadhurst
8475966,Garret Ross
8475720,Kent Simpson
8477195,Mathieu Brisebois
8467391,Jason LaBarbera
8476471,Mark McNeill
8477243,Drew LeBlanc
8476283,Alex Broadhurst
8475816,Stanislav Galiev
8476906,Shayne Gostisbehere
8477444,Andre Burakovsky
8476872,Scott Laughton
8475462,Radko Gudas
8473461,Steve Mason
8476393,Nick Cousins
8469469,R.J. Umberger
8468513,Nick Schultz
8475247,Michael Latta
8475744,Evgeny Kuznetsov
8477930,Pierre-Edouard Bellemare
8474040,Sam Gagner
8478563,Evgeny Medvedev
8477290,Michael Raffl
8477462,Robert Hagg
8475729,Mark Alt
8477502,Samuel Morin
8476932,Anthony Stolarz
8478367,Cole Bardreau
8477409,Carter Verhaeghe
8476955,Taylor Leier
8471436,Matt Hunwick
8476449,Scott Harrington
8471260,Blake Comeau
8476293,Scott Wilson
8473575,Semyon Varlamov
8475799,Nino Niederreiter
8475287,Erik Haula
8476455,Gabriel Landeskog
8475168,Matt Duchene
8471326,Patrick Bordeleau
8475206,Stefan Elliott
8473700,Ryan Wilson
8474089,Brad Malone
8471657,Cody McLeod
8474207,Nick Holden
8474008,Paul Carey
8471669,Paul Stastny
8469707,PA Parenteau
8473446,Erik Johnson
8470699,Jan Hejda
8475158,Ryan O'Reilly
8475197,Tyson Barrie
8477492,Nathan MacKinnon
8474202,John Curry
8475717,Calvin Pickard
8476536,Colin Smith
8475767,Joey Hishon
8476464,Duncan Siemens
8475461,Andrew Agozzino
8475824,Sami Aittokallio
8476798,Karl Stollery
8472373,Jon Landry
8476933,Raphael Bussieres
8476344,Tyler Graovac
8475860,Johan Gustafsson
8476889,Radek Faksa
8477501,Valeri Nichushkin
8470877,David Jones
8475730,Stephen Johns
8476467,Jamie Oleksiak
8474849,Antoine Roussel
8473994,Jamie Benn
8474098,Colton Sceviour
8469466,Ales Hemsky
8475906,John Klingberg
8474818,Jordie Benn
8476439,Brett Ritchie
8475747,Patrik Nemeth
8474610,Zac Dalpe
8477406,Mattias Janmark
8477850,Christian Folin
8471274,Alex Goligoski
8470140,Kari Lehtonen
8478390,Grayson Downing
8476619,Zack Mitchell
8478524,Zach Palmquist
8476422,Mike Reilly
8476545,Kurtis Gabriel
8478208,Hunter Warner
8476313,Steve Michalek
8474627,Jori Lehtera
8476427,Ty Rattie
8477467,Gustav Olofsson
8471840,Brett Sutter
8478138,Guillaume Gelinas
8477923,Michael Keranen
8476808,Brian Flynn
8473507,Jeff Petry
8477202,Andrew Hammond
8478461,Luke Opilka
8477455,Jacob de la Rose
8476379,Darren Dietz
8477901,Daniel Carr
8478004,Brett Lernout
8476948,Charles Hudon
8476904,Chris Driedger
8475227,Chris Wideman
8476368,Fredrik Claesson
8477210,Buddy Robinson
8471241,Mark Fistric
8469490,Tim Jackman
8476525,Colin Miller
8475762,Derek Forbort
8477149,Scott Sabourin
8477378,Patrik Bartosak
8476409,Alan Quine
8477932,Aaron Ekblad
8475755,Alexander Petrovic
8475760,Nick Bjugstad
8476456,Jonathan Huberdeau
8477506,Ryan Pulock
8475769,Quinton Howden
8476389,Vincent Trocheck
8475253,Garrett Wilson
8468001,Derek MacKenzie
8476428,Rocco Grimaldi
8475735,Greg McKegg
8476917,Adam Pelech
8476875,Mike Matheson
8476444,Christopher Gibson
8475191,Reilly Smith
8477493,Aleksander Barkov
8475246,Kevin Connauton
8467396,Erik Cole
8467423,Shawn Horcoff
8476116,Ryan Garbutt
8475714,Calle Jarnkrok
